key,press_time,release_time,dwell_time,flight_time
s,0.0,71.42,71.42,0.0
e,176.95,269.15,92.2,105.53
c,387.13,484.32,97.2,117.98
u,558.64,668.22,109.58,74.32
r,796.16,890.33,94.18,127.94
e,1021.58,1130.62,109.04,131.25
p,1243.54,1358.09,114.55,112.92
a,1482.44,1552.61,70.18,124.34
s,1664.79,1728.78,63.99,112.17
s,1827.34,1915.03,87.69,98.56
w,2009.34,2100.15,90.81,94.31
o,2191.89,2275.41,83.53,91.74
r,2429.46,2518.1,88.64,154.05
d,2659.05,2729.12,70.07,140.95
1,2822.99,2913.02,90.02,93.87
2,3036.07,3163.89,127.82,123.05
3,3250.07,3365.67,115.61,86.18
